Anio,Mes,FECHA,Pais_Destino,Prod_Principal,TRADICIONAL_Y_NO_TRAD,Codigo_Subpartida,Suma_FOB_miles,Suma_TM_Peso_Neto
2022,1,01-ene-2022,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1947347296.00,2287623134
2022,1,01-ene-2022,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,2316431074.00,4537491161
2022,1,01-ene-2022,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,189176422.00,340936777
2021,1,01-ene-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,974903641.00,1559138800
2021,1,01-ene-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,2851068945.00,5974397239
2021,1,01-ene-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,952083454.00,1841135336
2021,2,01-feb-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,971366854.00,1416740159
2021,2,01-feb-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1854688924.00,3572416562
2021,2,01-feb-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,656657292.00,1269194920
2021,3,01-mar-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1114113658.00,1584997471
2021,3,01-mar-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1280253437.00,1925500208
2021,3,01-mar-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,836106463.00,1669079973
2021,4,01-abr-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1353133639.00,1572138104
2021,4,01-abr-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1597375873.00,3238513777
2021,4,01-abr-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,1040809775.00,1957353935
2021,5,01-may-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1923065541.00,1631305800
2021,5,01-may-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1415822933.00,3012133320
2021,5,01-may-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,610312341.00,1218869215
2021,6,01-jun-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1777325005.00,1517969895
2021,6,01-jun-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1200483489.00,2607170982
2021,6,01-jun-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,429876487.00,866515028
2021,7,01-jul-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1938634521.00,1798648102
2021,7,01-jul-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1705977465.00,2672847302
2021,7,01-jul-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,708590140.00,1439147151
2021,7,01-jul-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,122304.00,130560
2021,8,01-ago-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,2073140556.00,1848777729
2021,8,01-ago-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1108477307.00,1864664464
2021,8,01-ago-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,255554485.00,494057737
2021,9,01-sep-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1475871238.00,1709265877
2021,9,01-sep-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,827763233.00,1706298683
2021,9,01-sep-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,52074411.00,73590776
2021,10,01-oct-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1782326366.00,1976529061
2021,10,01-oct-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1083937873.00,2114963532
2021,10,01-oct-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,113056950.00,184674060
2021,10,01-oct-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,1389000.00,300000
2021,11,01-nov-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1737744045.00,1932475556
2021,11,01-nov-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1327943726.00,2684779771
2021,11,01-nov-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,88364652.00,139830499
2021,11,01-nov-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901900,13702801.00,3401600
2021,12,01-dic-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1706358569.00,2010548196
2021,12,01-dic-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,2437280048.00,4037483820
2021,12,01-dic-2021,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,607294768.00,1192165717
2020,1,01-ene-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1491184846.00,1629885061
2020,1,01-ene-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1600356267.00,3399573000
2020,1,01-ene-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,2473967276.00,4389462331
2020,2,01-feb-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,901163204.00,1356018138
2020,2,01-feb-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1168686293.00,2500038377
2020,2,01-feb-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,1556395258.00,2655172369
2020,3,01-mar-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1172755031.00,1778589961
2020,3,01-mar-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,997042257.00,2108281293
2020,3,01-mar-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,4414936814.00,7343790004
2020,4,01-abr-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,1044832377.00,1687804943
2020,4,01-abr-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,1005863662.00,1955582612
2020,4,01-abr-2020,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,3759199917.00,6057408291
